Coffee-Mate 2 Go French Vanilla Concentrated Creamer 3oz,1tsp,25,1.5g,3g,0g
Coffee-Mate Chocolate Chip Cookie Coffee Creamer 16 oz,1tbsp,35,1.5g,5g,0g
Coffee-Mate Classic Vanilla Coffee Creamer 32  oz,1tbsp,35,1.5g,5g,0g
Coffee-Mate Natural Bliss Hazelnut Coffee Creamer 16 oz,1tbsp,35,1.5g,5g,0g
Silk Almond Vanilla Coffee Creamer 16 oz,1tbsp,20,0.5g,4g,0g
International Delight coffee creamer caramel macchiato 48-fl. Oz.,1tbsp,35,1.5g,6g,0g
International Delight coffee creamer French vanilla 16-fl. oz.,1tbsp,35,1.5g,6g,0g
Nestle Coffee-mate Creamer 35.3oz,1tsp,10,0.5g,1g,0g
International Delight Creamer Singles French Vanilla 24 ct,1creamer,30,1.5g,5g,0g
Madhava Maple Agave Syrup 11.75 oz,2tbsp,120,0g,30g,0g
Madhava Maple Blueberry Agave Syrup 11.75 oz,2tbsp,120,0g,30g,0g
Log Cabin Original Syrup 24 oz,0.25cup,200,0g,53g,0g
Aunt Jemima Original Syrup 24 Fluid Ounce,0.25cup,210,0g,52g,0g
Market Pantry™ Fat Free Non-Dairy Coffee Creamer 16oz,1teaspoon,10,0g,2g,0g
Market Pantry™ Non-Dairy Coffee Creamer 16oz,1tsp,10,0.5g,1g,0g
Coffee-Mate Sugar Free French Vanilla Creamer 32 oz,1tbsp,15,1g,2g,0g
Coffee-Mate French Vanilla Creamer 32 oz,1tbsp,35,1.5g,5g,0g
McCormick Grill Mates Brown Sugar Bourbon Marinade 1.25 oz,1tsp dry mix,10,0g,2g,0g
Log Cabin All Natural Syrup 22 oz,0.25cup,210,0g,52g,0g
Smuckers Caramel Topper 12.25 oz,2tbsp,120,0g,30g,0g
"Mrs. Richardson's Hot Fudge Topping 16 oz",2tbsp,140,6g,19g,1g
"Hershey's Special Dark Cocoa 8 oz",1tbsp,10,0.5g,3g,1g
"Hershey's Chocolate Shell Topping 7.25 oz",2tbsp,220,18g,16g,<1g
"Hershey's Syrup Genuine Chocolate Flavor 24 oz",2tbsp,100,0g,24g,<1g
"Hershey's Strawberry Syrup 22 oz",2tbsp,100,0g,25g,0g
"Hershey's Classic Caramel Sundae Syrup 15 oz",2tbsp,100,0g,25g,0g
Archer Farms 100% Pure Maple Syrup Dark Amber 12oz,0.25cup,200,0g,53g,0g
Quaker Popped Cheddar Cheese Rice Crisps 6.06 Ounce,18mini cakes,130,5g,21g,2g
Aunt Jemima Butter Rich Syrup 24 Fluid Ounce,0.25cup,210,0g,53g,0g
Quaker Yellow Cornmeal For Baking & Cooking 24 Ounce,3tablespoons,90,0.5g,21g,2g
Quaker Caramel Corn Gluten Free Rice Cakes 6.56 Ounce,1cake,50,0g,11g,1g
